departamento,hogares_total_2018,hogares_total_2018_cve,c_escritorio_total_2018,c_escritorio_total_2018_cve,c_portatil_total_2018,c_portatil_total_2018_cve,internet_total_2018,internet_total_2018_cve,internet_fijo_total_2018,internet_fijo_total_2018_cve,internet_movil_total_2018,internet_movil_total_2018_cve,hogares_cabecera_2018,hogares_cabecera_2018_cve,c_escritorio_cabecera_2018,c_escritorio_cabecera_2018_cve,c_portatil_cabecera_2018,c_portatil_cabecera_2018_cve,internet_cabecera_2018,internet_cabecera_2018_cve,internet_fijo_cabecera_2018,internet_fijo_cabecera_2018_cve,internet_movil_cabecera_2018,internet_movil_cabecera_2018_cve,hogares_centro_2018,hogares_centro_2018_cve,c_escritorio_centro_2018,c_escritorio_centro_2018_cve,c_portatil_centro_2018,c_portatil_centro_2018_cve,internet_centro_2018,internet_centro_2018_cve,internet_fijo_centro_2018,internet_fijo_centro_2018_cve,internet_movil_centro_2018,internet_movil_centro_2018_cve,hogares_total_2019,hogares_total_2019_cve,c_escritorio_total_2019,c_escritorio_total_2019_cve,c_portatil_total_2019,c_portatil_total_2019_cve,internet_total_2019,internet_total_2019_cve,internet_fijo_total_2019,internet_fijo_total_2019_cve,internet_movil_total_2019,internet_movil_total_2019_cve,hogares_cabecera_2019,hogares_cabecera_2019_cve,c_escritorio_cabecera_2019,c_escritorio_cabecera_2019_cve,c_portatil_cabecera_2019,c_portatil_cabecera_2019_cve,internet_cabecera_2019,internet_cabecera_2019_cve,internet_fijo_cabecera_2019,internet_fijo_cabecera_2019_cve,internet_movil_cabecera_2019,internet_movil_cabecera_2019_cve,hogares_centro_2019,hogares_centro_2019_cve,c_escritorio_centro_2019,c_escritorio_centro_2019_cve,c_portatil_centro_2019,c_portatil_centro_2019_cve,internet_centro_2019,internet_centro_2019_cve,internet_fijo_centro_2019,internet_fijo_centro_2019_cve,internet_movil_centro_2019,internet_movil_centro_2019_cve,hogares_total_2022,hogares_total_2022_cve,c_escritorio_total_2022,c_escritorio_total_2022_cve,c_portatil_total_2022,c_portatil_total_2022_cve,internet_total_2022,internet_total_2022_cve,internet_fijo_total_2022,internet_fijo_total_2022_cve,internet_movil_total_2022,internet_movil_total_2022_cve,hogares_cabecera_2022,hogares_cabecera_2022_cve,c_escritorio_cabecera_2022,c_escritorio_cabecera_2022_cve,c_portatil_cabecera_2022,c_portatil_cabecera_2022_cve,internet_cabecera_2022,internet_cabecera_2022_cve,internet_fijo_cabecera_2022,internet_fijo_cabecera_2022_cve,internet_movil_cabecera_2022,internet_movil_cabecera_2022_cve,hogares_centro_2022,hogares_centro_2022_cve,c_escritorio_centro_2022,c_escritorio_centro_2022_cve,c_portatil_centro_2022,c_portatil_centro_2022_cve,internet_centro_2022,internet_centro_2022_cve,internet_fijo_centro_2022,internet_fijo_centro_2022_cve,internet_movil_centro_2022,internet_movil_centro_2022_cve,hogares_total_2023,hogares_total_2023_cve,c_escritorio_total_2023,c_escritorio_total_2023_cve,c_portatil_total_2023,c_portatil_total_2023_cve,internet_total_2023,internet_total_2023_cve,internet_fijo_total_2023,internet_fijo_total_2023_cve,internet_movil_total_2023,internet_movil_total_2023_cve,hogares_cabecera_2023,hogares_cabecera_2023_cve,c_escritorio_cabecera_2023,c_escritorio_cabecera_2023_cve,c_portatil_cabecera_2023,c_portatil_cabecera_2023_cve,internet_cabecera_2023,internet_cabecera_2023_cve,internet_fijo_cabecera_2023,internet_fijo_cabecera_2023_cve,internet_movil_cabecera_2023,internet_movil_cabecera_2023_cve,hogares_centro_2023,hogares_centro_2023_cve,c_escritorio_centro_2023,c_escritorio_centro_2023_cve,c_portatil_centro_2023,c_portatil_centro_2023_cve,internet_centro_2023,internet_centro_2023_cve,internet_fijo_centro_2023,internet_fijo_centro_2023_cve,internet_movil_centro_2023,internet_movil_centro_2023_cve
total_nacional,15493.44145,0.0034,3191.077903,0.0182,4455.031722,0.0193,8159.023207,0.0099,6276.348994,0.0131,4525.411296,0.019,12051.59766,0.0038,3068.459802,0.0187,4267.706327,0.0198,7599.941787,0.0102,6127.757552,0.0131,4071.649243,0.0207,3441.843791,0.0028,122.6181009,0.0386,187.3253956,0.0299,559.0814206,0.0177,148.5914423,0.0423,453.7620525,0.0186,15999.3,0.004,2721.3,0.018,4167.2,0.019,8311.6,0.009,6326.5,0.012,4185.3,0.017,12221.4,0.004,2603.8,0.018,3946.1,0.019,7531.1,0.009,6092.6,0.012,3556,0.019,3441.843791,0.0028,122.6181009,0.0386,187.3253956,0.0299,559.0814206,0.0177,148.5914423,0.0423,453.7620525,0.0186,17525.65528,0.334,2425.002033,2.501,4514.285356,2.051,10421.73233,0.805,7666.903319,1.222,5836.841623,1.417,13553.8763,0.586,2326.03127,2.612,4276.372838,2.176,9142.122743,0.969,7175.474293,1.332,4870.8764,1.736,3971.778975,1.259,98.97076241,5.227,237.9125181,3.732,1279.609589,1.927,491.4290261,3.116,965.9652234,1.987,18009.26299,0.00333,2297.016597,0.0243,4767.490122,0.02061,11514.35073,0.00762,8282.583221,0.01123,7039.81998,0.01265,13952.22553,0.0043,2211.962419,0.02516,4496.827347,0.0218,9832.905958,0.00884,7688.007541,0.01202,5692.72117,0.01554,4057.037464,0.00313,85.05417738,0.05154,270.6627754,0.03146,1681.444769,0.00966,594.5756798,0.02154,1347.098811,0.01125
amazonas,22.2,0.0183,0.6,0.1451,2.4,0.0914,1.1,0.1557,0.3,0.2067,1,0.1654,8.2,0.0207,0.5,0.1504,2.1,0.0987,0.9,0.1679,0.2,0.2206,0.8,0.1777,14,0.0255,0.1,0.4936,0.3,0.2206,0.2,0.3987,0,0.5735,0.2,0.4257,22.3,0.019,0.4,0.238,1.5,0.117,2.2,0.125,0.2,0.347,2.1,0.128,12,0.026,0.4,0.249,1.2,0.132,1.8,0.14,0.2,0.382,1.7,0.145,14,0.0255,0.1,0.4936,0.3,0.2206,0.2,0.3987,0,0.5735,0.2,0.4257,21.745,2.566,0.79558021,17.489,2.98152909,10.389,8.16742942,6.873,0.91343243,17.811,7.6594092,6.827,12.182,6.44,0.7150438,19.916,2.35579097,11.709,5.60362371,10.627,0.75195695,19.182,5.22299421,11.064,9.563,4.946,0.08053641,38.963,0.62573812,25.088,2.56380571,16.05,0.16147549,45.847,2.436415,15.915,26.85942065,0.01848,1.21817841,0.1642,3.83150362,0.10115,7.81057052,0.06932,1.04984335,0.17856,6.98922471,0.0755,17.06642065,0.02504,1.04620806,0.15816,3.39934015,0.10924,6.32203969,0.07655,1.04426978,0.17946,5.50069387,0.08514,9.793,0.0307,0.17197035,0.64704,0.43216347,0.26123,1.48853083,0.16955,0.00557358,0.96806,1.48853083,0.16955
antioquia,2147.167054,0.0098,486.1237325,0.0506,656.4849004,0.0508,1175.234196,0.0287,985.5481956,0.0355,540.9647272,0.049,1691.0854,0.0115,467.7812714,0.0519,625.924504,0.0523,1118.899374,0.0286,953.0371713,0.0356,514.0668875,0.0497,456.0816545,0.011,18.34246116,0.1188,30.56039638,0.0835,56.33482148,0.078,32.51102426,0.1161,26.89783968,0.1073,2132.5,0.012,444.3,0.047,595.8,0.055,1259.1,0.026,980.4,0.033,539,0.05,1712.6,0.013,417.3,0.05,556.9,0.057,1150,0.028,918.4,0.033,477,0.05,456.0816545,0.011,18.34246116,0.1188,30.56039638,0.0835,56.33482148,0.078,32.51102426,0.1161,26.89783968,0.1073,2406.166,1.446,320.1132436,7.768,694.6668196,5.964,1460.540954,2.699,1141.596598,3.644,737.7669816,4.836,1969.298,2.258,304.8328744,8.226,664.7547657,6.314,1341.497205,3.116,1086.284042,3.958,657.9574491,5.473,436.868,5.778,15.28036926,16.959,29.91205386,14.16,119.0437485,8.387,55.31255633,12.082,79.80953251,8.505,2484.784,0.01129,225.2313568,0.10537,753.477838,0.05946,1754.512347,0.02462,1319.202454,0.0325,860.7051408,0.04508,2042.266,0.01385,214.1453254,0.11052,718.7494513,0.0623,1515.457294,0.02843,1245.771314,0.03426,665.569111,0.05791,442.518,0.00919,11.08603144,0.15242,34.72838669,0.09101,239.0550523,0.02556,73.43113958,0.07541,195.1360298,0.03104
arauca,89.5,0.0136,5,0.093,9.5,0.0913,15.8,0.0718,8,0.0912,11.4,0.0852,56.9,0.0159,4.4,0.0983,8.8,0.0949,14.5,0.0748,7.7,0.0937,10.4,0.0874,32.5,0.0232,0.5,0.2723,0.7,0.2446,1.3,0.1678,0.3,0.2658,1.1,0.2037,103.1,0.011,5.8,0.122,8.7,0.104,26.6,0.066,12.8,0.084,17.5,0.091,65.9,0.014,5.1,0.129,8.2,0.108,21.7,0.077,12.1,0.085,13.3,0.11,32.5,0.0232,0.5,0.2723,0.7,0.2446,1.3,0.1678,0.3,0.2658,1.1,0.2037,112.9785481,1.838,4.27544918,16.431,9.19287673,11.254,47.09394107,4.739,20.25072493,7.685,34.31952753,5.937,67.761,5.206,3.98814117,17.587,8.82342809,11.698,35.63877423,6.797,15.86089414,9.699,26.56751693,7.987,45.21754812,7.455,0.287308,35.208,0.36944864,33.322,11.45516684,11.791,4.38983079,14.736,7.7520106,14.024,113.761658,0.01036,4.24404987,0.13377,10.85848577,0.09448,41.79447843,0.03743,20.73681943,0.06975,28.74972322,0.04568,69.723,0.01698,4.06306906,0.13803,10.52481261,0.09698,33.69565866,0.04098,17.74412772,0.07681,23.05041498,0.04946,44.03865795,0.01569,0.18098081,0.52666,0.33367316,0.28622,8.09881977,0.09421,2.9926917,0.1615,5.69930823,0.11834
atlantico,644.5,0.0135,108,0.0693,191.7,0.0708,358.3,0.0446,277.3,0.056,179.7,0.0714,616.9,0.0127,107.4,0.0683,190.2,0.0678,354.8,0.0421,276.8,0.0538,176.4,0.0656,27.6,0.0156,0.7,0.1853,1.5,0.1431,3.6,0.0969,0.5,0.2645,3.4,0.0986,679,0.013,90,0.083,171.2,0.069,340.3,0.047,254.9,0.055,156,0.069,639,0.011,89.3,0.084,169.4,0.069,334.3,0.048,254.1,0.055,150.5,0.071,27.6,0.0156,0.7,0.1853,1.5,0.1431,3.6,0.0969,0.5,0.2645,3.4,0.0986,774.342,2.549,92.91382647,9.423,220.6797659,8.192,412.8067246,5.045,368.3932943,5.594,156.5910066,9.448,735.597,2.787,92.00958545,9.513,218.0890819,8.298,405.9436738,5.153,364.7586917,5.656,151.2551479,9.865,38.745,8.494,0.90424102,32.085,2.59068401,20.395,6.86305074,13.14,3.63460264,19.482,5.3358587,13.694,795.247,0.0128,79.83472689,0.09244,213.7121646,0.0836,469.7898237,0.03569,383.6767155,0.04463,283.8930834,0.0557,755.754,0.01358,79.24808682,0.09309,211.6507445,0.08441,455.7360653,0.03685,379.2038378,0.04516,271.6732969,0.05841,39.493,0.01746,0.58664008,0.26916,2.06142003,0.15939,14.05375832,0.05568,4.47287768,0.11684,12.21978648,0.05933
bogota,2813.4,0.0145,1067.6,0.0417,1407.9,0.0481,2125.2,0.0283,1883.9,0.0322,1142.4,0.0627,2808.2,0.012,1067.2,0.0415,1407.4,0.0477,2124.5,0.0275,1883.6,0.0316,1141.8,0.0624,5.2,0.0139,0.4,0.132,0.5,0.1181,0.8,0.1161,0.3,0.1736,0.6,0.1387,2691.6,0.015,835.9,0.038,1248,0.046,2016.6,0.023,1862.9,0.028,871.6,0.056,2682.8,0.014,835.4,0.038,1247.4,0.045,2015.6,0.023,1862.5,0.027,871,0.056,5.2,0.0139,0.4,0.132,0.5,0.1181,0.8,0.1161,0.3,0.1736,0.6,0.1387,2940.358,1.871,856.1612988,5.544,1266.869172,5.5,2335.549495,2.661,1954.423113,3.562,1256.182008,4.766,2930.681,1.88,855.2678207,5.549,1265.413305,5.506,2332.114755,2.666,1952.298121,3.566,1254.234343,4.774,9.677,1.846,0.89347806,17.577,1.45586739,12.799,3.43474011,9.04,2.12499196,11.797,1.94766548,11.472,3018.019,0.01392,832.0528667,0.04942,1333.363403,0.0551,2335.427614,0.0256,2059.246474,0.03211,1127.96066,0.05687,3007.895,0.01398,831.2934932,0.04947,1331.630215,0.05517,2327.805599,0.02569,2056.769368,0.03215,1120.967036,0.05723,10.124,0.01605,0.75937351,0.14979,1.73318787,0.10278,7.62201498,0.02431,2.47710641,0.07752,6.99362407,0.0303
bolivar,586.5,0.0091,67.4,0.0854,85.8,0.0854,179.5,0.0546,136.2,0.0676,79.7,0.0796,455.2,0.0103,65.1,0.0884,82.5,0.0885,168.6,0.0574,133.2,0.0686,71.3,0.0871,131.3,0.0143,2.2,0.2302,3.3,0.1651,10.9,0.1185,3,0.2441,8.4,0.1268,601.4,0.01,54.6,0.107,91.7,0.095,185.9,0.063,147.9,0.077,81.8,0.091,442,0.011,52.8,0.104,87.9,0.098,174.1,0.066,144.9,0.076,72.1,0.1,131.3,0.0143,2.2,0.2302,3.3,0.1651,10.9,0.1185,3,0.2441,8.4,0.1268,673.872,2.976,53.45946575,11.924,90.70501197,10.769,325.1882307,5.065,192.1917292,7.64,185.254217,4.874,500.012,4.916,52.04872269,12.243,85.30860466,11.508,268.7908387,6.476,183.7690042,8.114,133.412735,7.59,173.86,5.649,1.41074307,36.773,5.39640731,30.472,56.39739201,8.667,8.422725,23.461,51.84148199,8.875,691.799,0.00955,48.80941447,0.11266,105.9219635,0.08879,337.3888495,0.03756,212.9684209,0.05716,212.6427851,0.05693,512.362,0.01336,47.46543185,0.11551,98.57544071,0.09348,285.6035334,0.04351,198.3521866,0.06041,170.7396267,0.07065,179.437,0.01276,1.34398262,0.32948,7.34652276,0.27402,51.78531617,0.06072,14.61623424,0.15261,41.9031584,0.05971
boyaca,426,0.0083,53.1,0.0562,102.3,0.0463,208,0.024,112.5,0.0404,147.6,0.0316,249.9,0.0108,48,0.0586,92,0.0493,159.3,0.0256,110.2,0.0397,100.6,0.0366,176.1,0.0125,5.2,0.1866,10.2,0.1346,48.7,0.058,2.2,0.2678,47,0.0588,447.2,0.012,48.7,0.08,80.7,0.062,158.6,0.042,99.3,0.051,101.8,0.053,263.2,0.014,45.5,0.081,71.9,0.062,134,0.042,94.6,0.049,79.6,0.057,176.1,0.0125,5.2,0.1866,10.2,0.1346,48.7,0.058,2.2,0.2678,47,0.0588,440.63,1.18,27.80587403,12.427,109.7733157,4.735,238.3977157,2.587,137.840171,4.188,159.4047558,3.134,273.404,3.115,23.05756538,14.56,96.11163873,5.375,178.3831061,3.947,119.6376104,4.825,108.6580783,5.01,167.226,3.858,4.74830865,20.13,13.66167698,12.502,60.01460956,6.524,18.20256053,12.254,50.74667752,6.358,448.147,0.00825,27.58718003,0.1031,124.5435009,0.03819,273.9158556,0.02342,146.1210945,0.04227,206.3650931,0.02484,280.911,0.0124,25.71768071,0.1089,113.5938529,0.04114,194.3033069,0.02997,126.0994642,0.04672,138.1836914,0.03414,167.236,0.01065,1.86949932,0.26539,10.94964805,0.11883,79.61254861,0.03526,20.02163029,0.11375,68.18140171,0.03132
caldas,324.1,0.0104,53.2,0.0552,95,0.0508,147.6,0.0332,134.8,0.036,62.5,0.0696,238.6,0.013,49.6,0.0579,89.9,0.0531,140.1,0.0342,131.1,0.0362,58,0.0741,85.6,0.0109,3.6,0.144,5.2,0.1295,7.5,0.1163,3.7,0.1962,4.5,0.1216,350.1,0.012,42,0.07,96.2,0.065,162.2,0.039,134.2,0.046,64.7,0.08,267.7,0.014,39.3,0.073,91.7,0.068,151.3,0.04,129.1,0.047,57.6,0.087,85.6,0.0109,3.6,0.144,5.2,0.1295,7.5,0.1163,3.7,0.1962,4.5,0.1216,363.093,2.978,40.86418589,9.242,112.3154379,7.196,227.1450406,4.5,183.5572482,5.52,96.3574499,6.209,286.099,4.635,38.5866065,9.958,106.6198259,7.711,200.6263016,5.514,173.0011397,6.026,77.09379204,8.14,76.994,7.166,2.27757939,23.927,5.69561196,15.561,26.51873902,9.468,10.55610852,16.837,19.26365786,9.726,371.21,0.01238,34.75885849,0.08703,123.38476,0.05926,223.7627933,0.02897,197.9940021,0.03329,92.23253997,0.05804,294.063,0.01593,33.17978209,0.09048,117.3801944,0.06183,202.2199272,0.03171,186.8447477,0.03476,77.4252955,0.06927,77.147,0.01602,1.5790764,0.30325,6.00456559,0.14203,21.54286603,0.0626,11.14925432,0.09933,14.80724447,0.07632
caqueta,159.3,0.0078,15.1,0.0883,22.1,0.0718,50.6,0.045,21.1,0.0746,41.3,0.0499,98.8,0.0103,14.5,0.0917,20.2,0.0764,44,0.0466,20.7,0.0756,35,0.0523,60.5,0.011,0.6,0.2332,1.9,0.1979,6.6,0.1157,0.4,0.3901,6.2,0.1156,133.9,0.011,8.4,0.107,18.2,0.074,51.8,0.038,24.5,0.063,35.4,0.048,89.9,0.013,7.9,0.111,17.2,0.077,43.9,0.04,23.5,0.064,28.3,0.054,60.5,0.011,0.6,0.2332,1.9,0.1979,6.6,0.1157,0.4,0.3901,6.2,0.1156,143.546,2.858,9.05642093,13.47,24.24683918,8.988,73.00612718,4.149,30.975117,8.582,52.91572346,4.413,100.564,5.952,8.8588847,13.784,22.73137496,9.733,53.01953268,7.426,30.11596742,8.855,33.17218534,9.306,42.982,7.748,0.19753623,29.494,1.51546422,16.875,19.9865945,10.262,0.85914958,30.15,19.74353813,10.278,147.952,0.01137,5.70040315,0.14121,26.36115954,0.07654,100.5035407,0.02577,39.0195839,0.05654,86.22628797,0.03105,104.066,0.01601,5.21602803,0.15239,22.41753423,0.08712,70.63109789,0.03522,35.85777091,0.05754,57.30352833,0.04426,43.886,0.0175,0.48437512,0.27755,3.9436253,0.13798,29.87244285,0.03388,3.16181299,0.24057,28.92275964,0.03871
casanare,120.4,0.0104,11.8,0.0815,27.5,0.059,55.9,0.0333,26.9,0.0626,36.1,0.0501,92.5,0.0118,11.3,0.0823,25.4,0.0603,47,0.0377,26.4,0.0576,27.6,0.0588,28,0.0155,0.5,0.2625,2.1,0.1337,8.9,0.0623,0.5,0.2872,8.5,0.0629,145.9,0.012,13.6,0.087,29.1,0.068,57.4,0.041,31.3,0.069,38.9,0.061,104.5,0.013,12.6,0.092,26.9,0.073,51.9,0.044,30.1,0.071,34.4,0.067,28,0.0155,0.5,0.2625,2.1,0.1337,8.9,0.0623,0.5,0.2872,8.5,0.0629,157.126,1.928,12.55778956,9.932,31.82593728,6.77,94.56063472,3.005,44.7604213,5.711,66.91955112,3.193,117.108,4.667,11.76948689,10.662,29.31967832,7.578,73.4687557,5.519,42.12346314,6.317,47.13238259,6.969,40.018,8.516,0.78830266,25.923,2.50625896,20.212,21.09187902,9.539,2.63695816,19.651,19.78716853,9.546,160.813,0.01244,10.43061526,0.10756,29.5091874,0.07572,78.14204535,0.03161,45.16685148,0.05669,57.33512278,0.04255,120.349,0.01774,9.77831375,0.1123,26.40812977,0.08333,66.723041,0.0368,41.72524202,0.06072,48.49361689,0.05012,40.464,0.01875,0.6523015,0.33594,3.10105763,0.12469,11.41900435,0.07529,3.44160946,0.14915,8.84150589,0.0842
cauca,433.4,0.0079,43.8,0.0652,71.5,0.0505,130.9,0.031,87.7,0.044,75,0.0499,175.9,0.0116,35.7,0.0617,57.5,0.0535,103.7,0.028,78.9,0.0392,55.3,0.0578,257.4,0.0108,8.1,0.2049,14,0.1267,27.2,0.0994,8.8,0.2467,19.8,0.0912,480.6,0.011,35.7,0.095,75.3,0.062,148.2,0.044,91.2,0.055,73.4,0.066,187.5,0.013,28.4,0.101,53.4,0.068,93.4,0.048,76.7,0.058,31.2,0.082,257.4,0.0108,8.1,0.2049,14,0.1267,27.2,0.0994,8.8,0.2467,19.8,0.0912,574.488,1.298,29.21138003,11.64,81.04902291,6.743,184.5090248,4.096,139.3410906,4.849,102.2053186,5.772,206.37,5.834,24.06381999,13.91,62.48365535,8.693,125.5112696,6.342,100.8092551,7.07,77.37905412,7.249,368.118,3.238,5.14756004,22.552,18.56536756,12.947,58.99775519,7.46,38.53183554,8.748,24.82626447,10.56,589.682,0.00962,33.54267764,0.09971,97.12865305,0.06031,264.8637677,0.02742,168.9867637,0.03996,182.7641521,0.03238,210.244,0.01664,26.38344596,0.11733,66.12162519,0.07578,141.5771304,0.03307,111.3835384,0.04532,92.08141228,0.04795,379.438,0.01389,7.15923167,0.19053,31.00702787,0.11342,123.2866373,0.05457,57.60322534,0.08727,90.68273985,0.06918
cesar,293.2,0.01,30,0.0923,50.3,0.0689,119.2,0.0404,72,0.0568,64.1,0.054,222.2,0.0117,28.6,0.0968,47.4,0.0727,107.7,0.0438,70,0.0569,54,0.0609,71,0.0115,1.4,0.1861,2.9,0.1351,11.6,0.0749,1.9,0.2016,10.1,0.0771,365.5,0.012,36.4,0.096,52.6,0.077,130.4,0.057,86,0.079,57.1,0.074,271.1,0.013,35.4,0.1,49,0.08,120.5,0.054,84.3,0.077,48.8,0.073,71,0.0115,1.4,0.1861,2.9,0.1351,11.6,0.0749,1.9,0.2016,10.1,0.0771,412.104,2.247,30.02317215,12.059,55.06084593,10.041,213.6861312,4.363,120.8734064,6.378,148.8702869,4.715,312.238,4.408,28.76606683,12.487,51.71755181,10.632,185.7761469,5.499,113.0512308,6.939,125.7996038,6.178,99.866,7.702,1.25710532,38.826,3.34329411,24.878,27.90998437,11.597,7.82217562,18.947,23.07068311,11.914,424.779,0.01272,17.75439003,0.14039,68.76331145,0.09996,247.9140125,0.03005,122.037605,0.05858,179.4591668,0.03608,321.858,0.01731,17.04150878,0.14598,64.06655394,0.10649,206.2030198,0.03722,114.3059351,0.0622,142.5605149,0.04896,102.921,0.01483,0.71288125,0.29934,4.69675751,0.18533,41.71099272,0.05578,7.73166985,0.15223,36.8986519,0.05637
choco,150.7,0.0105,9.3,0.0899,17.3,0.0726,22,0.0624,17.1,0.0738,7.6,0.1118,74.4,0.0135,9,0.0915,15.6,0.076,21.5,0.0624,16.7,0.0737,7.4,0.1143,76.3,0.0163,0.3,0.4023,1.7,0.2391,0.4,0.4457,0.3,0.6015,0.2,0.455,170.1,0.01,8.8,0.092,18.2,0.068,28.3,0.063,20.9,0.079,11.4,0.087,77.6,0.011,8.2,0.096,16.9,0.067,25.6,0.054,19,0.071,10.4,0.088,76.3,0.0163,0.3,0.4023,1.7,0.2391,0.4,0.4457,0.3,0.6015,0.2,0.455,176.362,1.592,6.43090049,16.727,16.44595553,10.134,35.26745594,6.385,15.61395768,9.407,23.7361996,6.903,78.744,5.398,5.71511622,18.451,13.020947,11.929,27.33423939,7.542,14.94217464,9.85,16.39129177,8.23,97.618,3.789,0.71578427,37.942,3.42500853,19.927,7.93321655,13.644,0.67178304,37.171,7.34490783,13.996,180.847,0.00917,3.7286307,0.18814,18.44193959,0.08537,32.57454094,0.06318,16.59534868,0.09793,20.81756593,0.06815,80.182,0.01546,3.59004176,0.19333,17.08349573,0.08982,26.64329194,0.07096,15.47984564,0.10199,15.97326903,0.0778,100.665,0.01408,0.13858894,0.74139,1.35844386,0.25511,5.931249,0.14194,1.11550304,0.32164,4.8442969,0.15349
